Enzyme 	KO 	D 	C 	B 	A 	
C53B4.7 bre-1; BT (Bacillus thuringiensis) toxin REsistant family member (bre-1)	K01711 GDPmannose 4,6-dehydratase [EC:4.2.1.47] 	4.2.1.47  GDP-mannose 4,6-dehydratase 	4.2.1  Hydro-lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
Y51H4A.7 hypothetical protein	K01712 urocanate hydratase [EC:4.2.1.49] 	4.2.1.49  urocanate hydratase 	4.2.1  Hydro-lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
C01F1.3 hypothetical protein	K12450 UDP-glucose 4,6-dehydratase [EC:4.2.1.76] 	4.2.1.76  UDP-glucose 4,6-dehydratase 	4.2.1  Hydro-lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
T10B11.1 pcbd-1; Pterin CarBinolamine Dehydratase family member (pcbd-1)	K01724 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96] 	4.2.1.96  4a-hydroxytetrahydrobiopterin dehydratase 	4.2.1  Hydro-lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
ZC373.5 hypothetical protein	K08964 methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109] 	4.2.1.109  methylthioribulose 1-phosphate dehydratase 	4.2.1  Hydro-lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
T15B7.2 hypothetical protein	K10703 3-hydroxy acyl-CoA dehydratase [EC:4.2.1.-] 	4.2.1.- 	4.2.1  Hydro-lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
B0041.6 ptps-1; Pyruvoyl TetrahydrobioPterin Synthase family member (ptps-1)	K01737 6-pyruvoyl tetrahydrobiopterin synthase [EC:4.2.3.12] 	4.2.3.12  6-pyruvoyltetrahydropterin synthase 	4.2.3  Acting on phosphates 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
T05H10.2 apn-1; APurinic/apyrimidinic endoNuclease family member (apn-1)	K10771 AP endonuclease 1 [EC:4.2.99.18] 	4.2.99.18  DNA-(apurinic or apyrimidinic site) lyase 	4.2.99  Other carbon-oxygen lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
R09B3.1 exo-3; EXOnuclease family member (exo-3)	K10771 AP endonuclease 1 [EC:4.2.99.18] 	4.2.99.18  DNA-(apurinic or apyrimidinic site) lyase 	4.2.99  Other carbon-oxygen lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
R10E4.5 nth-1; NTH (eNdonuclease THree like) homolog family member (nth-1)	K10773 endonuclease III [EC:4.2.99.18] 	4.2.99.18  DNA-(apurinic or apyrimidinic site) lyase 	4.2.99  Other carbon-oxygen lyases 	4.2  Carbon-oxygen lyases 	<b>4. Lyases</b> 	
F47B10.2 hypothetical protein	K01745 histidine ammonia-lyase [EC:4.3.1.3] 	4.3.1.3  histidine ammonia-lyase 	4.3.1  Ammonia-lyases 	4.3  Carbon-nitrogen lyases 	<b>4. Lyases</b> 	
K01C8.1 hypothetical protein	K01754 threonine dehydratase [EC:4.3.1.19] 	4.3.1.19  threonine ammonia-lyase 	4.3.1  Ammonia-lyases 	4.3  Carbon-nitrogen lyases 	<b>4. Lyases</b> 	
Y51H7C.9 hypothetical protein	K01754 threonine dehydratase [EC:4.3.1.19] 	4.3.1.19  threonine ammonia-lyase 	4.3.1  Ammonia-lyases 	4.3  Carbon-nitrogen lyases 	<b>4. Lyases</b> 	
R06C7.5 hypothetical protein	K01756 adenylosuccinate lyase [EC:4.3.2.2] 	4.3.2.2  adenylosuccinate lyase 	4.3.2  Amidine-lyases 	4.3  Carbon-nitrogen lyases 	<b>4. Lyases</b> 	
C12C8.2 hypothetical protein	K01758 cystathionine gamma-lyase [EC:4.4.1.1] 	4.4.1.1  cystathionine gamma-lyase 	4.4.1  Carbon-sulfur lyases (only sub-subclass identified to date) 	4.4  Carbon-sulfur lyases 	<b>4. Lyases</b> 	
ZK1127.10 hypothetical protein	K01758 cystathionine gamma-lyase [EC:4.4.1.1] 	4.4.1.1  cystathionine gamma-lyase 	4.4.1  Carbon-sulfur lyases (only sub-subclass identified to date) 	4.4  Carbon-sulfur lyases 	<b>4. Lyases</b> 	
F22B8.6 hypothetical protein	K01758 cystathionine gamma-lyase [EC:4.4.1.1] 	4.4.1.1  cystathionine gamma-lyase 	4.4.1  Carbon-sulfur lyases (only sub-subclass identified to date) 	4.4  Carbon-sulfur lyases 	<b>4. Lyases</b> 	
R03A10.4 nkat-3; Nematode Kynurenine AminoTransferase family member (nkat-3)	K00816 kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64] 	4.4.1.13  cysteine-S-conjugate beta-lyase 	4.4.1  Carbon-sulfur lyases (only sub-subclass identified to date) 	4.4  Carbon-sulfur lyases 	<b>4. Lyases</b> 	
F13H8.9 hypothetical protein	K01763 selenocysteine lyase [EC:4.4.1.16] 	4.4.1.16  selenocysteine lyase 	4.4.1  Carbon-sulfur lyases (only sub-subclass identified to date) 	4.4  Carbon-sulfur lyases 	<b>4. Lyases</b> 	
T06D8.6 cchl-1; Cytochrome C Heme-Lyase family member (cchl-1)	K01764 cytochrome c heme-lyase [EC:4.4.1.17] 	4.4.1.17  holocytochrome-c synthase 	4.4.1  Carbon-sulfur lyases (only sub-subclass identified to date) 	4.4  Carbon-sulfur lyases 	<b>4. Lyases</b> 	
F17C8.1 acy-1; Adenylyl CYclase family member (acy-1)	K08049 adenylate cyclase 9 [EC:4.6.1.1] 	4.6.1.1  adenylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
AH6.1 gcy-1; Guanylyl CYclase family member (gcy-1)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
B0024.6 gcy-6; Guanylyl CYclase family member (gcy-6)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
C06B3.8 gcy-32; Guanylyl CYclase family member (gcy-32)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
C17F4.6 gcy-19; Guanylyl CYclase family member (gcy-19)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
C30G4.3 gcy-11; Guanylyl CYclase family member (gcy-11)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
F21H7.9 gcy-20; Guanylyl CYclase family member (gcy-20)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
ZK970.5 gcy-4; Guanylyl CYclase family member (gcy-4)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
ZK970.6 gcy-5; Guanylyl CYclase family member (gcy-5)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
C49H3.1 gcy-8; Guanylyl CYclase family member (gcy-8)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
R134.1 gcy-3; Guanylyl CYclase family member (gcy-3)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
R134.2 gcy-2; Guanylyl CYclase family member (gcy-2)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
T03D8.5 gcy-22; Guanylyl CYclase family member (gcy-22)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
T26C12.4 gcy-23; Guanylyl CYclase family member (gcy-23)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
W03F11.2 gcy-17; Guanylyl CYclase family member (gcy-17)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
ZC239.7 gcy-15; Guanylyl CYclase family member (gcy-15)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
ZC412.2 gcy-14; Guanylyl CYclase family member (gcy-14)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
ZK455.2 gcy-9; Guanylyl CYclase family member (gcy-9)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
ZK896.8 gcy-18; Guanylyl CYclase family member (gcy-18)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
F22E5.3 gcy-21; Guanylyl CYclase family member (gcy-21)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
F23H12.6 gcy-13; Guanylyl CYclase family member (gcy-13)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
F08B1.2 gcy-12; Guanylyl CYclase family member (gcy-12)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
M04G12.3 gcy-34; Guanylyl CYclase family member (gcy-34)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
Y105C5B.2 gcy-25; Guanylyl CYclase family member (gcy-25)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
C06A12.4 gcy-27; Guanylyl CYclase family member (gcy-27)	K01769 guanylate cyclase, other [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
T04D3.4 gcy-35; Guanylyl CYclase family member (gcy-35)	K12319 guanylate cyclase soluble subunit beta [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
C46E1.2 gcy-36; Guanylyl CYclase family member (gcy-36)	K12319 guanylate cyclase soluble subunit beta [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
T01A4.1 gcy-28; Guanylyl CYclase family member (gcy-28)	K12323 atrial natriuretic peptide receptor A [EC:4.6.1.2] 	4.6.1.2  guanylate cyclase 	4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date) 	4.6  Phosphorus-oxygen lyases 	<b>4. Lyases</b> 	
F08F8.7 hypothetical protein	K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1] 	5.1.3.1  ribulose-phosphate 3-epimerase 	5.1.3  Acting on carbohydrates and derivatives 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
C47B2.6 gale-1; UDP-GALactose 4-Epimerase family member (gale-1)	K01784 UDP-glucose 4-epimerase [EC:5.1.3.2] 	5.1.3.2  UDP-glucose 4-epimerase 	5.1.3  Acting on carbohydrates and derivatives 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
C01B4.6 hypothetical protein	K01785 aldose 1-epimerase [EC:5.1.3.3] 	5.1.3.3  aldose 1-epimerase 	5.1.3  Acting on carbohydrates and derivatives 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
Y19D10A.16 hypothetical protein	K01785 aldose 1-epimerase [EC:5.1.3.3] 	5.1.3.3  aldose 1-epimerase 	5.1.3  Acting on carbohydrates and derivatives 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
C14F11.6 hypothetical protein	K01790 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13] 	5.1.3.13  dTDP-4-dehydrorhamnose 3,5-epimerase 	5.1.3  Acting on carbohydrates and derivatives 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
B0285.5 hse-5; Heparan Sulfate-glucuronic acid-5-Epimerase family member (hse-5)	K01793 heparosan-N-sulfate-glucuronate 5-epimerase [EC:5.1.3.17] 	5.1.3.17  heparosan-N-sulfate-glucuronate 5-epimerase 	5.1.3  Acting on carbohydrates and derivatives 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
D2030.5 mce-1; Methylmalonyl-CoA Epimerase family member (mce-1)	K05606 methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1] 	5.1.99.1  methylmalonyl-CoA epimerase 	5.1.99  Acting on other compounds 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
C24A3.4 hypothetical protein	K01796 alpha-methylacyl-CoA racemase [EC:5.1.99.4] 	5.1.99.4  alpha-methylacyl-CoA racemase 	5.1.99  Acting on other compounds 	5.1  Racemases and epimerases 	<b>5. Isomerases</b> 	
Y53G8B.1 hypothetical protein	K01800 maleylacetoacetate isomerase [EC:5.2.1.2] 	5.2.1.2  maleylacetoacetate isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
D1053.1 gst-42; Glutathione S-Transferase family member (gst-42)	K01800 maleylacetoacetate isomerase [EC:5.2.1.2] 	5.2.1.2  maleylacetoacetate isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
T27D1.1 cyn-9; CYclophyliN family member (cyn-9)	K01802 peptidylprolyl isomerase [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y75B12B.2 cyn-7; CYclophyliN family member (cyn-7)	K01802 peptidylprolyl isomerase [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y75B12B.5 cyn-3; CYclophyliN family member (cyn-3)	K01802 peptidylprolyl isomerase [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
ZK520.5 cyn-2; CYclophyliN family member (cyn-2)	K01802 peptidylprolyl isomerase [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y17G9B.4 hypothetical protein	K01802 peptidylprolyl isomerase [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y49A3A.5 cyn-1; CYclophyliN family member (cyn-1)	K03767 peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
F31C3.1 cyn-5; CYclophyliN family member (cyn-5)	K03768 peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
F42G9.2 cyn-6; CYclophyliN family member (cyn-6)	K03768 peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y116A8C.34 cyn-13; CYclophyliN family member (cyn-13)	K09564 peptidyl-prolyl isomerase E (cyclophilin E) [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
D1009.2 cyn-8; CYclophyliN family member (cyn-8)	K09566 peptidyl-prolyl isomerase G (cyclophilin G) [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
T01B7.4 cyn-11; CYclophyliN family member (cyn-11)	K09567 peptidyl-prolyl isomerase H (cyclophilin H) [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
F36H1.1 fkb-1; FK506-Binding protein family member (fkb-1)	K09569 FK506-binding protein 2 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
F31D4.3 fkb-6; FK506-Binding protein family member (fkb-6)	K09571 FK506-binding protein 4/5 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
C05C8.3 fkb-3; FK506-Binding protein family member (fkb-3)	K09575 FK506-binding protein 9/10 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y110A2AL.13 hypothetical protein	K09578 peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y48C3A.16 hypothetical protein	K09579 peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
F59E10.2 cyn-4; CYclophyliN family member (cyn-4)	K10598 peptidyl-prolyl cis-trans isomerase-like 2 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
C34D4.12 cyn-12; CYclophyliN family member (cyn-12)	K12733 peptidyl-prolyl cis-trans isomerase-like 1 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
B0252.4 cyn-10; CYclophyliN family member (cyn-10)	K12734 peptidyl-prolyl cis-trans isomerase-like 3 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
F39H2.2 sig-7; Silencing In Germline defective family member (sig-7)	K12735 peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y87G2A.6 cyn-15; CYclophyliN family member (cyn-15)	K12736 peptidylprolyl isomerase domain and WD repeat-containing protein 1 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y17G7B.9 cyn-16; CYclophyliN family member (cyn-16)	K12737 peptidyl-prolyl cis-trans isomerase SDCCAG10 [EC:5.2.1.8] 	5.2.1.8  peptidylprolyl isomerase 	5.2.1  cis-trans Isomerases (only sub-subclass identified to date) 	5.2  cis-trans-Isomerases 	<b>5. Isomerases</b> 	
Y17G7B.7 tpi-1; Triose Phosphate Isomerase family member (tpi-1)	K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1] 	5.3.1.1  triose-phosphate isomerase 	5.3.1  Interconverting aldoses and ketoses, and related compounds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
B0280.3 hypothetical protein	K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6] 	5.3.1.6  ribose-5-phosphate isomerase 	5.3.1  Interconverting aldoses and ketoses, and related compounds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
C05C8.7 hypothetical protein	K01809 mannose-6-phosphate isomerase [EC:5.3.1.8] 	5.3.1.8  mannose-6-phosphate isomerase 	5.3.1  Interconverting aldoses and ketoses, and related compounds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
ZK632.4 hypothetical protein	K01809 mannose-6-phosphate isomerase [EC:5.3.1.8] 	5.3.1.8  mannose-6-phosphate isomerase 	5.3.1  Interconverting aldoses and ketoses, and related compounds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
Y87G2A.8 gpi-1; Glucose-6-Phosphate Isomerase family member (gpi-1)	K01810 glucose-6-phosphate isomerase [EC:5.3.1.9] 	5.3.1.9  glucose-6-phosphate isomerase 	5.3.1  Interconverting aldoses and ketoses, and related compounds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
Y56A3A.3 mif-1; MIF (macrophage migration inhibitory factor) related family member (mif-1)	K07253 phenylpyruvate tautomerase [EC:5.3.2.1] 	5.3.2.1  phenylpyruvate tautomerase 	5.3.2  Interconverting keto- and enol-groups 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
K06H7.9 idi-1; Isopentenyl Diphosphate Isomerase family member (idi-1)	K01823 isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2] 	5.3.3.2  isopentenyl-diphosphate Delta-isomerase 	5.3.3  Transposing C=C bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
R06F6.9 ech-4; Enoyl-CoA Hydratase family member (ech-4)	K13239 peroxisomal 3,2-trans-enoyl-CoA isomerase [EC:5.3.3.8] 	5.3.3.8  dodecenoyl-CoA isomerase 	5.3.3  Transposing C=C bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
Y25C1A.13 hypothetical protein	K12663 delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase [EC:5.3.3.-] 	5.3.3.- 	5.3.3  Transposing C=C bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
H06O01.1 pdi-3; Protein Disulfide Isomerase family member (pdi-3)	K08056 protein disulfide isomerase family A, member 3 [EC:5.3.4.1] 	5.3.4.1  protein disulfide-isomerase 	5.3.4  Transposing S-S bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
C07A12.4 pdi-2; Protein Disulfide Isomerase family member (pdi-2)	K09580 protein disulfide-isomerase A1 [EC:5.3.4.1] 	5.3.4.1  protein disulfide-isomerase 	5.3.4  Transposing S-S bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
C14B1.1 pdi-1; Protein Disulfide Isomerase family member (pdi-1)	K09580 protein disulfide-isomerase A1 [EC:5.3.4.1] 	5.3.4.1  protein disulfide-isomerase 	5.3.4  Transposing S-S bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
C14B9.2 erp72; hypothetical protein	K09582 protein disulfide-isomerase A4 [EC:5.3.4.1] 	5.3.4.1  protein disulfide-isomerase 	5.3.4  Transposing S-S bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
B0403.4 tag-320; Temporarily Assigned Gene name family member (tag-320)	K09584 protein disulfide-isomerase A6 [EC:5.3.4.1] 	5.3.4.1  protein disulfide-isomerase 	5.3.4  Transposing S-S bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
Y49E10.4 hypothetical protein	K09584 protein disulfide-isomerase A6 [EC:5.3.4.1] 	5.3.4.1  protein disulfide-isomerase 	5.3.4  Transposing S-S bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
