GENES 	KO 	C 	B 	A 	
F44B9.8 ARPA; hypothetical protein	K10756 replication factor C subunit 3/5 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C39E9.13 rfc-3; RFC (DNA replication factor) family member (rfc-3)	K10756 replication factor C subunit 3/5 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
W03D2.4 pcn-1; PCNA (Proliferating Cell Nuclear Antigen) homolog family member (pcn-1)	K04802 proliferating cell nuclear antigen 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F45G2.3 hypothetical protein	K10746 exonuclease 1 [EC:3.1.-.-] 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F18A1.5 rpa-1; Replication Protein A homolog family member (rpa-1)	K07466 replication factor A1 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
M04F3.1 rpa-2; Replication Protein A homolog family member (rpa-2)	K10739 replication factor A2 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F59A3.6 hypothetical protein	K10739 replication factor A2 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F10C2.4 hypothetical protein	K02327 DNA polymerase delta subunit 1 [EC:2.7.7.7] 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F12F6.7 hypothetical protein	K02328 DNA polymerase delta subunit 2 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
R04F11.3 hypothetical protein	K03504 DNA polymerase delta subunit 3 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C29A12.3 lig-1; LIGase family member (lig-1)	K10747 DNA ligase 1 [EC:6.5.1.1] 	03430 Mismatch repair [PATH:cel03430] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
T04H1.4 rad-50; RADiation sensitivity abnormal/yeast RAD-related family member (rad-50)	K10866 DNA repair protein RAD50 [EC:3.6.-.-] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
ZC302.1 mre-11; yeast MRE recombination/repair homolog family member (mre-11)	K10865 double-strand break repair protein MRE11 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F18A1.5 rpa-1; Replication Protein A homolog family member (rpa-1)	K07466 replication factor A1 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
M04F3.1 rpa-2; Replication Protein A homolog family member (rpa-2)	K10739 replication factor A2 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F59A3.6 hypothetical protein	K10739 replication factor A2 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y43C5A.6 rad-51; RADiation sensitivity abnormal/yeast RAD-related family member (rad-51)	K04482 DNA repair protein RAD51 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y119D3B.15 dss-1; DSS1 (Deleted in Split hand/Split foot protein 1) homolog; 26S proteasome subunit family member (dss-1)	K10881 26 proteasome complex subunit DSS1 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
W06D4.6 rad-54; RADiation sensitivity abnormal/yeast RAD-related family member (rad-54)	K10875 DNA repair and recombination protein RAD54 and RAD54-like protein [EC:3.6.4.-] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y116A8C.13 hypothetical protein	K10877 DNA repair and recombination protein RAD54B [EC:3.6.4.-] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F10C2.4 hypothetical protein	K02327 DNA polymerase delta subunit 1 [EC:2.7.7.7] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F12F6.7 hypothetical protein	K02328 DNA polymerase delta subunit 2 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
R04F11.3 hypothetical protein	K03504 DNA polymerase delta subunit 3 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
T04A11.6 him-6; High Incidence of Males (increased X chromosome loss) family member (him-6)	K10901 bloom syndrome protein [EC:3.6.4.12] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y48C3A.14 hypothetical protein	K03165 DNA topoisomerase III [EC:5.99.1.2] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y56A3A.27 top-3; TOPoisomerase family member (top-3)	K03165 DNA topoisomerase III [EC:5.99.1.2] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C43E11.2 mus-81; MUS (Drosophila mutagen sensitive) related family member (mus-81)	K08991 crossover junction endonuclease MUS81 [EC:3.1.22.-] 	03440 Homologous recombination [PATH:cel03440] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y47D3A.4 cku-70; Caenorhabditis KU family member (cku-70)	K10884 ATP-dependent DNA helicase 2 subunit 1 	03450 Non-homologous end-joining [PATH:cel03450] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
R07E5.8 cku-80; Caenorhabditis KU family member (cku-80)	K10885 ATP-dependent DNA helicase 2 subunit 2 	03450 Non-homologous end-joining [PATH:cel03450] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C07H6.1 lig-4; LIGase family member (lig-4)	K10777 DNA ligase 4 [EC:6.5.1.1] 	03450 Non-homologous end-joining [PATH:cel03450] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
T04H1.4 rad-50; RADiation sensitivity abnormal/yeast RAD-related family member (rad-50)	K10866 DNA repair protein RAD50 [EC:3.6.-.-] 	03450 Non-homologous end-joining [PATH:cel03450] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
ZC302.1 mre-11; yeast MRE recombination/repair homolog family member (mre-11)	K10865 double-strand break repair protein MRE11 	03450 Non-homologous end-joining [PATH:cel03450] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y47G6A.8 crn-1; Cell-death-Related Nuclease family member (crn-1)	K04799 flap endonuclease-1 [EC:3.-.-.-] 	03450 Non-homologous end-joining [PATH:cel03450] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F35H10.5 hypothetical protein	K15360 centromere protein X 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C07H6.6 clk-2; CLocK (biological timing) abnormality family member (clk-2)	K11137 telomere length regulation protein 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F35G12.4 hypothetical protein	K15361 WD repeat-containing protein 48 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
W02D3.10 fnci-1; FANCI (Fanconi anemia complex component I) homolog family member (fnci-1)	K10895 fanconi anemia group I protein 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y41E3.9 fcd-2; human FANCD2 (Fanconi's anemia defect) ortholog family member (fcd-2)	K10891 fanconi anemia group D2 protein 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y43C5A.6 rad-51; RADiation sensitivity abnormal/yeast RAD-related family member (rad-51)	K04482 DNA repair protein RAD51 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F33H2.1 dog-1; Deletions Of G-rich DNA family member (dog-1)	K15362 fanconi anemia group J protein [EC:3.6.4.12] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C01G5.8 hypothetical protein	K15363 fanconi-associated nuclease 1 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
T28A8.7 mlh-1; MLH (MutL Homolog) family member (mlh-1)	K08734 DNA mismatch repair protein MLH1 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
H12C20.2 pms-2; PMS (Post Meiotic Segregation) family member (pms-2)	K10858 DNA mismatch repair protein PMS2 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
ZK675.2 rev-1; REV1 (translesion DNA polymerase) homolog family member (rev-1)	K03515 DNA repair protein REV1 [EC:2.7.7.-] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y37B11A.2 hypothetical protein	K02350 DNA polymerase zeta subunit [EC:2.7.7.7] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F22B7.6 polk-1; POLK (DNA polymerase kappa) homolog family member (polk-1)	K03511 DNA polymerase kappa subunit [EC:2.7.7.7] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F53A3.2 polh-1; POLH (DNA polymerase eta) homolog family member (polh-1)	K03509 DNA polymerase eta subunit [EC:2.7.7.7] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
T07C12.12 hypothetical protein	K10990 RecQ-mediated genome instability protein 1 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y48C3A.14 hypothetical protein	K03165 DNA topoisomerase III [EC:5.99.1.2] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
Y56A3A.27 top-3; TOPoisomerase family member (top-3)	K03165 DNA topoisomerase III [EC:5.99.1.2] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
T04A11.6 him-6; High Incidence of Males (increased X chromosome loss) family member (him-6)	K10901 bloom syndrome protein [EC:3.6.4.12] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F18A1.5 rpa-1; Replication Protein A homolog family member (rpa-1)	K07466 replication factor A1 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
M04F3.1 rpa-2; Replication Protein A homolog family member (rpa-2)	K10739 replication factor A2 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F59A3.6 hypothetical protein	K10739 replication factor A2 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C43E11.2 mus-81; MUS (Drosophila mutagen sensitive) related family member (mus-81)	K08991 crossover junction endonuclease MUS81 [EC:3.1.22.-] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
C47D12.8 hypothetical protein	K10848 DNA excision repair protein ERCC-4 [EC:3.1.-.-] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F10G8.7 hypothetical protein	K10849 DNA excision repair protein ERCC-1 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
F56A3.2 hypothetical protein	K15078 structure-specific endonuclease subunit SLX1 [EC:3.6.1.-] 	03460 Fanconi anemia pathway [PATH:cel03460] 	<b>Replication and Repair</b> 	<b>Genetic Information Processing</b> 	
tRNA-Gly tRNA-Gly	K14225 tRNA Gly 	03100 Non-coding RNAs 	<b>RNA family</b> 	<b>Genetic Information Processing</b> 	
s-rRNA S-rRNA	K01979 small subunit ribosomal RNA 	03100 Non-coding RNAs 	<b>RNA family</b> 	<b>Genetic Information Processing</b> 	
l-rRNA L-rRNA	K01982 large subunit ribosomal RNA 	03100 Non-coding RNAs 	<b>RNA family</b> 	<b>Genetic Information Processing</b> 	
W05B2.9 W05B2.9	K14879 small nucleolar RNA snR53 	03100 Non-coding RNAs 	<b>RNA family</b> 	<b>Genetic Information Processing</b> 	
Y48G8AL.11 haf-6; HAlF transporter (PGP related) family member (haf-6)	K05655 ATP-binding cassette, subfamily B (MDR/TAP), member 8 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
ZK484.2 haf-9; HAlF transporter (PGP related) family member (haf-9)	K05656 ATP-binding cassette, subfamily B (MDR/TAP), member 9 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
Y50E8A.16 haf-7; HAlF transporter (PGP related) family member (haf-7)	K05656 ATP-binding cassette, subfamily B (MDR/TAP), member 9 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
C34G6.4 pgp-2; P-GlycoProtein related family member (pgp-2)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
C47A10.1 pgp-9; P-GlycoProtein related family member (pgp-9)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
F22E10.2 pgp-13; P-GlycoProtein related family member (pgp-13)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
DH11.3 pgp-11; P-GlycoProtein related family member (pgp-11)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
F22E10.1 pgp-12; P-GlycoProtein related family member (pgp-12)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
F22E10.3 pgp-14; P-GlycoProtein related family member (pgp-14)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
F42E11.1 pgp-4; P-GlycoProtein related family member (pgp-4)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
ZK455.7 pgp-3; P-GlycoProtein related family member (pgp-3)	K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
C05A9.1 pgp-5; P-GlycoProtein related family member (pgp-5)	K05660 ATP-binding cassette, subfamily B (MDR/TAP), member 5 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
Y74C10AR.3 abtm-1; ABC Transporter, Mitochondrial family member (abtm-1)	K05662 ATP-binding cassette, subfamily B (MDR/TAP), member 7 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
F14F4.3 mrp-5; Multidrug Resistance Protein family member (mrp-5)	K05668 ATP-binding cassette, subfamily C (CFTR/MRP), member 5 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
T02D1.5 pmp-4; Peroxisomal Membrane Protein related family member (pmp-4)	K05676 ATP-binding cassette, subfamily D (ALD), member 2 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
C44B7.9 pmp-2; Peroxisomal Membrane Protein related family member (pmp-2)	K05677 ATP-binding cassette, subfamily D (ALD), member 3 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
C54G10.3 pmp-3; Peroxisomal Membrane Protein related family member (pmp-3)	K05678 ATP-binding cassette, subfamily D (ALD), member 4 	02010 ABC transporters [PATH:cel02010] 	<b>Membrane Transport</b> 	<b>Environmental Information Processing</b> 	
T02C5.5 unc-2; UNCoordinated family member (unc-2)	K05315 voltage-dependent calcium channel alpha 1, invertebrate 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C54D2.5 cca-1; Calcium Channel, Alpha subunit family member (cca-1)	K05315 voltage-dependent calcium channel alpha 1, invertebrate 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C48A7.1 egl-19; EGg Laying defective family member (egl-19)	K05315 voltage-dependent calcium channel alpha 1, invertebrate 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C50C3.9 unc-36; UNCoordinated family member (unc-36)	K05316 voltage-dependent calcium channel alpha-2/delta, invertebrate 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T28F2.5 ccb-1; Calcium Channel, Beta subunit family member (ccb-1)	K05317 voltage-dependent calcium channel beta, invertebrate 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F47F2.1 hypothetical protein	K04345 protein kinase A [EC:2.7.11.11] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK909.2 kin-1; protein KINase family member (kin-1)	K04345 protein kinase A [EC:2.7.11.11] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
E01H11.1 pkc-2; Protein Kinase C family member (pkc-2)	K02677 classical protein kinase C [EC:2.7.11.13] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F18G5.3 gpa-12; G Protein, Alpha subunit family member (gpa-12)	K04346 guanine nucleotide-binding protein subunit alpha-12 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C02F4.2 tax-6; abnormal CHEmotaxis family member (tax-6)	K04348 protein phosphatase 3, catalytic subunit [EC:3.1.3.16] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F55C10.1 cnb-1; CalciNeurin B family member (cnb-1)	K06268 protein phosphatase 3, regulatory subunit 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK856.8 hypothetical protein	K06268 protein phosphatase 3, regulatory subunit 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y71H2AL.1 hypothetical protein	K06268 protein phosphatase 3, regulatory subunit 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F59D6.7 hypothetical protein	K06268 protein phosphatase 3, regulatory subunit 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T14G10.2 pxf-1; PDZ eXchange Factor family member (pxf-1)	K08018 Rap guanine nucleotide exchange factor (GEF) 2 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C05D11.4 let-756; LEThal family member (let-756)	K04358 fibroblast growth factor 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK1067.1 let-23; LEThal family member (let-23)	K04361 epidermal growth factor receptor [EC:2.7.10.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C14F5.5 sem-5; SEx Muscle abnormal family member (sem-5)	K04364 growth factor receptor-binding protein 2 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T28F12.3 sos-1; Drosophila SOS homolog family member (sos-1)	K03099 son of sevenless 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK792.6 let-60; LEThal family member (let-60)	K07827 GTPase KRas 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F17C8.4 ras-2; R-RAS related family member (ras-2)	K07831 Ras-related protein M-Ras 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y73B6A.5 lin-45; abnormal cell LINeage family member (lin-45)	K04365 B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y54E10BL.6 mek-2; MAP kinase kinase or Erk Kinase family member (mek-2)	K04368 mitogen-activated protein kinase kinase 1 [EC:2.7.12.2] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F43C1.2 mpk-1; MAP Kinase family member (mpk-1)	K04371 extracellular signal-regulated kinase 1/2 [EC:2.7.11.24] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
R166.5 mnk-1; MAP kinase iNtegrating Kinase (MNK) homolog family member (mnk-1)	K04372 MAP kinase interacting serine/threonine kinase [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T01H8.1 rskn-1; RSK-pNinety (RSK-p90 kinase) homolog family member (rskn-1)	K04373 p90 ribosomal S6 kinase [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C37F5.1 lin-1; abnormal cell LINeage family member (lin-1)	K04375 ETS domain-containing protein Elk-1 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C07E3.9 hypothetical protein	K01047 phospholipase A2 [EC:3.1.1.4] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C03H5.4 hypothetical protein	K01047 phospholipase A2 [EC:3.1.1.4] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
W07A8.2 hypothetical protein	K01047 phospholipase A2 [EC:3.1.1.4] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
R07G3.1 cdc-42; Cell Division Cycle related family member (cdc-42)	K04393 cell division control protein 42 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y32F6B.3 crp-1; Cdc-42 Related Protein family member (crp-1)	K04393 cell division control protein 42 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C44H4.5 tap-1; TAK1 kinase/MOM-4 binding Protein family member (tap-1)	K04403 TAK1-binding protein 1 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y17G9B.5 hypothetical protein	K04405 evolutionarily conserved signaling intermediate in Toll pathways 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C09B8.7 pak-1; P21-Activated Kinase family member (pak-1)	K04409 p21-activated kinase 1 [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F14H12.4 cst-1; Caenorhabditis STE20-like kinase family member (cst-1)	K04412 serine/threonine kinase 3 [EC:2.7.11.5] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F59A6.1 nsy-1; Neuronal Symmetry family member (nsy-1)	K04426 mitogen-activated protein kinase kinase kinase 5 [EC:2.7.11.25] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0414.7 mtk-1; MTK1/MEKK4 homolog family member (mtk-1)	K04428 mitogen-activated protein kinase kinase kinase 4 [EC:2.7.11.25] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T17E9.1 kin-18; protein KINase family member (kin-18)	K04429 thousand and one amino acid protein kinase [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F42G10.2 mkk-4; MKK (MAP Kinase Kinase) homolog family member (mkk-4)	K04430 mitogen-activated protein kinase kinase 4 [EC:2.7.12.2] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
K08A8.1 mek-1; MAP kinase kinase or Erk Kinase family member (mek-1)	K04431 mitogen-activated protein kinase kinase 7 [EC:2.7.12.2] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F35C8.1 hypothetical protein	K04433 mitogen-activated protein kinase kinase 6 [EC:2.7.12.2] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
R03G5.2 sek-1; SAPK/ERK kinase family member (sek-1)	K04433 mitogen-activated protein kinase kinase 6 [EC:2.7.12.2] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y66H1B.2 hypothetical protein	K04437 filamin 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C23F12.1 flna-1; FiLamiN (actin binding protein) Alpha family member (flna-1)	K04437 filamin 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y66H1B.3 hypothetical protein	K04437 filamin 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
